from,to,corr,weight,Effect
protein_mg_cm2,carb_mg_cm2,0.8192169625182345,0.8192169625182345,Positive
protein_mg_cm2,zoox_cells_cm2,0.30231045390641104,0.30231045390641104,Positive
carb_mg_cm2,zoox_cells_cm2,0.4762599008752466,0.4762599008752466,Positive
protein_mg_cm2,afdw_mg_cm2,0.5202120889153392,0.5202120889153392,Positive
carb_mg_cm2,afdw_mg_cm2,0.5577331523948263,0.5577331523948263,Positive
zoox_cells_cm2,afdw_mg_cm2,0.45300269694347167,0.45300269694347167,Positive
growth_vol_b,percent_alive,0.30584653761799147,0.30584653761799147,Positive
protein_mg_cm2,percent_alive,0.401745561835769,0.401745561835769,Positive
carb_mg_cm2,percent_alive,0.3462925176442339,0.3462925176442339,Positive
protein_mg_cm2,Alpheus_diadema,-0.32686010735044174,0.32686010735044174,Negative
percent_alive,Alpheus_diadema,-0.3820854457666682,0.3820854457666682,Negative
afdw_mg_cm2,Athanas_djiboutensis,0.30344219652363197,0.30344219652363197,Positive
protein_mg_cm2,Caracanthus_maculatus,0.49897146910649703,0.49897146910649703,Positive
carb_mg_cm2,Caracanthus_maculatus,0.3542499853324686,0.3542499853324686,Positive
afdw_mg_cm2,Caracanthus_maculatus,0.40147014712248624,0.40147014712248624,Positive
Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,0.3554785370630758,Positive
percent_alive,Cerithium_zebrum,-0.44220821471042093,0.44220821471042093,Negative
Cerithium_zebrum,Coralliogalathea_humilis,0.43562102359135574,0.43562102359135574,Positive
growth_vol_b,Dascyllus_aruanus,0.46481896277157414,0.46481896277157414,Positive
Caracanthus_maculatus,Dascyllus_aruanus,0.3572718142791917,0.3572718142791917,Positive
Coralliogalathea_humilis,Dascyllus_aruanus,0.3933434542128883,0.3933434542128883,Positive
percent_alive,Diala_albugo,-0.333994443945374,0.333994443945374,Negative
Dascyllus_flavicaudus,Diala_albugo,-0.3088648921245315,0.3088648921245315,Negative
protein_mg_cm2,Fennera_chacei,0.3620728443024216,0.3620728443024216,Positive
carb_mg_cm2,Fennera_chacei,0.3347907257791372,0.3347907257791372,Positive
Diala_semistriata,Fennera_chacei,-0.3113109359291118,0.3113109359291118,Negative
percent_alive,Galathea_mauritiana,-0.30744100328788254,0.30744100328788254,Negative
Alpheus_diadema,Galathea_mauritiana,0.46161132092656354,0.46161132092656354,Positive
Calcinus_latens,Halichoeres_trimaculatus,0.32838517373592846,0.32838517373592846,Positive
Cerithium_zebrum,Hargeria_rapax,0.46907328479518867,0.46907328479518867,Positive
Carinomitra_typha,Harpiliopsis_beaupresii,0.3284353289041221,0.3284353289041221,Positive
Cellana_taitensis,Harpiliopsis_beaupresii,0.3599124384535912,0.3599124384535912,Positive
Chlorodiella_barbata,Harpiliopsis_beaupresii,0.3739519304956546,0.3739519304956546,Positive
growth_vol_b,Harpiliopsis_spinigera,0.32432261312257066,0.32432261312257066,Positive
Caracanthus_maculatus,Harpiliopsis_spinigera,0.4072826939603516,0.4072826939603516,Positive
Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.46409158382012455,0.46409158382012455,Positive
Diala_semistriata,Harpiliopsis_spinigera,-0.3566105101754498,0.3566105101754498,Negative
Fennera_chacei,Harpiliopsis_spinigera,0.37955717398497607,0.37955717398497607,Positive
percent_alive,Luniella_pugil,-0.37078975993721397,0.37078975993721397,Negative
Coralliogalathea_humilis,Luniella_pugil,0.30152620176056355,0.30152620176056355,Positive
Galathea_mauritiana,Luniella_pugil,0.5025275754318607,0.5025275754318607,Positive
Athanas_djiboutensis,Macteola_interrupta,0.31360471790310535,0.31360471790310535,Positive
Coralliogalathea_humilis,Macteola_interrupta,0.3457338787183241,0.3457338787183241,Positive
percent_alive,Menaethius_monoceros,-0.389073456043154,0.389073456043154,Negative
Chlorodiella_barbata,Menaethius_monoceros,0.4550181081127744,0.4550181081127744,Positive
Diala_semistriata,Menaethius_monoceros,0.4071345363633811,0.4071345363633811,Positive
Halichoeres_trimaculatus,Menaethius_monoceros,0.4124883716225678,0.4124883716225678,Positive
Harpiliopsis_beaupresii,Menaethius_monoceros,0.4484186740407552,0.4484186740407552,Positive
Caracanthus_maculatus,Mitrella_moleculina,-0.30192680394704924,0.30192680394704924,Negative
Coralliogalathea_humilis,Mitrella_moleculina,0.3601621593609723,0.3601621593609723,Positive
Diala_semistriata,Mitrella_moleculina,0.6595439907153662,0.6595439907153662,Positive
Luniella_pugil,Mitrella_moleculina,0.3289071739916975,0.3289071739916975,Positive
Carinomitra_typha,Morula_zebrina,0.4329881702106633,0.4329881702106633,Positive
percent_alive,Paragobiodon_modestus,-0.39870514736345664,0.39870514736345664,Negative
Alpheus_diadema,Paragobiodon_modestus,0.34298588354962206,0.34298588354962206,Positive
Galathea_mauritiana,Paragobiodon_modestus,0.3482661036548045,0.3482661036548045,Positive
Harpiliopsis_beaupresii,Paragobiodon_modestus,-0.33920231261745765,0.33920231261745765,Negative
carb_mg_cm2,Periclimenes_watamuae,0.3252132115685704,0.3252132115685704,Positive
Chlorodiella_barbata,Periclimenes_watamuae,0.43273659990491903,0.43273659990491903,Positive
Dascyllus_flavicaudus,Periclimenes_watamuae,0.33451621804807535,0.33451621804807535,Positive
Halichoeres_trimaculatus,Periclimenes_watamuae,0.37310052278587824,0.37310052278587824,Positive
Harpiliopsis_spinigera,Periclimenes_watamuae,0.3774241505255478,0.3774241505255478,Positive
Apataxia_cerithiiformis,Stomatolina_rubra,0.427553173222448,0.427553173222448,Positive
Calcinus_latens,Stomatolina_rubra,-0.3005452094212681,0.3005452094212681,Negative
Cerithium_zebrum,Stomatolina_rubra,0.4753240681785297,0.4753240681785297,Positive
Coralliogalathea_humilis,Stomatolina_rubra,0.6281221376569075,0.6281221376569075,Positive
Diala_semistriata,Stomatolina_rubra,0.5596907483050892,0.5596907483050892,Positive
Mitrella_moleculina,Stomatolina_rubra,0.44609825156807087,0.44609825156807087,Positive
percent_alive,Strigatella_assimilis,-0.36361739587233766,0.36361739587233766,Negative
Alpheus_lottini,Strigatella_assimilis,0.3574599058901651,0.3574599058901651,Positive
Diala_albugo,Strigatella_assimilis,0.5426514158547308,0.5426514158547308,Positive
Galathea_mauritiana,Strigatella_assimilis,0.4644675929832641,0.4644675929832641,Positive
Paragobiodon_modestus,Strigatella_assimilis,0.3205837240900999,0.3205837240900999,Positive
zoox_cells_cm2,Synalpheus_charon,0.3046510406256642,0.3046510406256642,Positive
Dascyllus_aruanus,Synalpheus_charon,-0.31001689796548,0.31001689796548,Negative
Pascula_muricata,Synalpheus_charon,-0.45787369597642175,0.45787369597642175,Negative
percent_alive,Trapezia_serenei,-0.3577218931822795,0.3577218931822795,Negative
Alpheus_diadema,Trapezia_serenei,0.4793057042575758,0.4793057042575758,Positive
Alpheus_lottini,Trapezia_serenei,0.3631658565664156,0.3631658565664156,Positive
Diala_albugo,Trapezia_serenei,0.3457858960592298,0.3457858960592298,Positive
Galathea_mauritiana,Trapezia_serenei,0.5517975771390774,0.5517975771390774,Positive
Galeropsis_monodonta,Trapezia_serenei,0.4545596047157525,0.4545596047157525,Positive
Paragobiodon_modestus,Trapezia_serenei,0.35461744700175823,0.35461744700175823,Positive
Strigatella_assimilis,Trapezia_serenei,0.3597478820758334,0.3597478820758334,Positive
Synalpheus_charon,Trapezia_serenei,0.35921258189992533,0.35921258189992533,Positive
Chlorodiella_barbata,Trapezia_tigrina,0.3380821931949103,0.3380821931949103,Positive
Halichoeres_trimaculatus,Trapezia_tigrina,0.3431233417699859,0.3431233417699859,Positive
Strigatella_assimilis,Trapezia_tigrina,0.3603577199760591,0.3603577199760591,Positive
Synalpheus_charon,Trapezia_tigrina,-0.3130972222771849,0.3130972222771849,Negative
Athanas_djiboutensis,Vexillum_interruptum,0.3813779182397478,0.3813779182397478,Positive
Caracanthus_maculatus,Vexillum_interruptum,0.33647047734358726,0.33647047734358726,Positive
Cellana_taitensis,Xanthias_lamarckii,0.3124795000679785,0.3124795000679785,Positive
Dascyllus_aruanus,Xanthias_lamarckii,-0.35157025486403864,0.35157025486403864,Negative
Strigatella_assimilis,Xanthias_lamarckii,0.32368613698109616,0.32368613698109616,Positive
Chlorodiella_barbata,Zafra_hahajimana,0.3142903175352947,0.3142903175352947,Positive
Galathea_mauritiana,Zafra_hahajimana,0.3151927979544169,0.3151927979544169,Positive
Luniella_pugil,Zafra_hahajimana,0.3350687149106251,0.3350687149106251,Positive
Mitrella_moleculina,Zafra_hahajimana,0.3274656962464721,0.3274656962464721,Positive
Morula_zebrina,Zafra_hahajimana,0.38230143251363585,0.38230143251363585,Positive
Strigatella_assimilis,Zafra_hahajimana,0.3204469892182463,0.3204469892182463,Positive
Trapezia_serenei,Zafra_hahajimana,0.3210949934048369,0.3210949934048369,Positive
