transform,species_clean,species_original,species_label,order,metric,n,r,p_value,p_BH,Effect,norm_name
raw,Alpheus_diadema,Alpheus diadema,italic(Alpheus diadema),Other,afdw_mg_cm2,44,-0.1855304915151425,0.2279166083228356,0.7674695299352391,Negative,alpheus diadema
raw,Alpheus_diadema,Alpheus diadema,italic(Alpheus diadema),Other,carb_mg_cm2,44,-0.2477358438188203,0.104937695015735,0.764026758442577,Negative,alpheus diadema
raw,Alpheus_diadema,Alpheus diadema,italic(Alpheus diadema),Other,growth_vol_b,44,-0.22257455905718146,0.1464524325641227,0.764026758442577,Negative,alpheus diadema
raw,Alpheus_diadema,Alpheus diadema,italic(Alpheus diadema),Other,protein_mg_cm2,44,-0.32686010735044163,0.030341770945250316,0.6605704082354257,Negative,alpheus diadema
raw,Alpheus_diadema,Alpheus diadema,italic(Alpheus diadema),Other,zoox_cells_cm2,44,-0.07360655764715197,0.634901195788142,0.8935646459240517,Negative,alpheus diadema
raw,Alpheus_lottini,Alpheus lottini,italic(Alpheus lottini),Other,afdw_mg_cm2,44,-0.16414080371303585,0.28701875858382897,0.8020910702812067,Negative,alpheus lottini
raw,Alpheus_lottini,Alpheus lottini,italic(Alpheus lottini),Other,carb_mg_cm2,44,-0.04573508926355933,0.7681520529440873,0.9477200653206272,Negative,alpheus lottini
raw,Alpheus_lottini,Alpheus lottini,italic(Alpheus lottini),Other,growth_vol_b,44,-0.11812821677543266,0.44504847998338504,0.8897294631367394,Negative,alpheus lottini
raw,Alpheus_lottini,Alpheus lottini,italic(Alpheus lottini),Other,protein_mg_cm2,44,-0.15317578270113985,0.3208675762595874,0.8020910702812067,Negative,alpheus lottini
raw,Alpheus_lottini,Alpheus lottini,italic(Alpheus lottini),Other,zoox_cells_cm2,44,-0.024294319811588718,0.8756120957760675,0.9768909486244352,Negative,alpheus lottini
raw,Apataxia_cerithiiformis,Apataxia cerithiiformis,italic(Apataxia cerithiiformis),Other,afdw_mg_cm2,44,-0.10597085452689708,0.4935796388187773,0.8897294631367394,Negative,apataxia cerithiiformis
raw,Apataxia_cerithiiformis,Apataxia cerithiiformis,italic(Apataxia cerithiiformis),Other,carb_mg_cm2,44,-0.20893471334989866,0.17348379458070728,0.764026758442577,Negative,apataxia cerithiiformis
raw,Apataxia_cerithiiformis,Apataxia cerithiiformis,italic(Apataxia cerithiiformis),Other,growth_vol_b,44,-0.05635007631851074,0.7163715325400785,0.9134939005544624,Negative,apataxia cerithiiformis
raw,Apataxia_cerithiiformis,Apataxia cerithiiformis,italic(Apataxia cerithiiformis),Other,protein_mg_cm2,44,-0.11119279909043862,0.47240646440733836,0.8897294631367394,Negative,apataxia cerithiiformis
raw,Apataxia_cerithiiformis,Apataxia cerithiiformis,italic(Apataxia cerithiiformis),Other,zoox_cells_cm2,44,-0.14280328718356108,0.35510557767040607,0.8020910702812067,Negative,apataxia cerithiiformis
raw,Athanas_djiboutensis,Athanas djiboutensis,italic(Athanas djiboutensis),Other,afdw_mg_cm2,44,0.3034421965236319,0.045247012370381944,0.6605704082354257,Positive,athanas djiboutensis
raw,Athanas_djiboutensis,Athanas djiboutensis,italic(Athanas djiboutensis),Other,carb_mg_cm2,44,-0.11411629197507381,0.4607668067075641,0.8897294631367394,Negative,athanas djiboutensis
raw,Athanas_djiboutensis,Athanas djiboutensis,italic(Athanas djiboutensis),Other,growth_vol_b,44,-0.037903603018621806,0.8070188597032422,0.9606558745629223,Negative,athanas djiboutensis
raw,Athanas_djiboutensis,Athanas djiboutensis,italic(Athanas djiboutensis),Other,protein_mg_cm2,44,0.047925278291208476,0.757377763808212,0.946722204760265,Positive,athanas djiboutensis
raw,Athanas_djiboutensis,Athanas djiboutensis,italic(Athanas djiboutensis),Other,zoox_cells_cm2,44,0.023559203871513057,0.8793477039189073,0.9768909486244352,Positive,athanas djiboutensis
raw,Calcinus_latens,Calcinus latens,italic(Calcinus latens),Other,afdw_mg_cm2,44,0.15885029702330294,0.3030488477309606,0.8020910702812067,Positive,calcinus latens
raw,Calcinus_latens,Calcinus latens,italic(Calcinus latens),Other,carb_mg_cm2,44,0.14895850993416043,0.33452881449411964,0.8020910702812067,Positive,calcinus latens
raw,Calcinus_latens,Calcinus latens,italic(Calcinus latens),Other,growth_vol_b,44,-0.16733131749475896,0.27762336230703105,0.8020910702812067,Negative,calcinus latens
raw,Calcinus_latens,Calcinus latens,italic(Calcinus latens),Other,protein_mg_cm2,44,0.08994338455999781,0.5614964787491428,0.8897294631367394,Positive,calcinus latens
raw,Calcinus_latens,Calcinus latens,italic(Calcinus latens),Other,zoox_cells_cm2,44,0.21788832399065547,0.15536449470160552,0.764026758442577,Positive,calcinus latens
raw,Caracanthus_maculatus,Caracanthus maculatus,italic(Caracanthus maculatus),Other,afdw_mg_cm2,44,0.40147014712248646,0.006911851219826894,0.43775057725570327,Positive,caracanthus maculatus
raw,Caracanthus_maculatus,Caracanthus maculatus,italic(Caracanthus maculatus),Other,carb_mg_cm2,44,0.35424998533246865,0.018311536767706804,0.6605704082354257,Positive,caracanthus maculatus
raw,Caracanthus_maculatus,Caracanthus maculatus,italic(Caracanthus maculatus),Other,growth_vol_b,44,0.24496980176121863,0.109002397777676,0.764026758442577,Positive,caracanthus maculatus
raw,Caracanthus_maculatus,Caracanthus maculatus,italic(Caracanthus maculatus),Other,protein_mg_cm2,44,0.49897146910649715,5.654941820241598e-4,0.10744389458459036,Positive,caracanthus maculatus
raw,Caracanthus_maculatus,Caracanthus maculatus,italic(Caracanthus maculatus),Other,zoox_cells_cm2,44,0.23452966090703992,0.12543130069106856,0.764026758442577,Positive,caracanthus maculatus
raw,Carinomitra_typha,Carinomitra typha,italic(Carinomitra typha),Other,afdw_mg_cm2,44,-0.08319430134283602,0.5913408434062222,0.8897294631367394,Negative,carinomitra typha
raw,Carinomitra_typha,Carinomitra typha,italic(Carinomitra typha),Other,carb_mg_cm2,44,-0.1480496669878297,0.33751950085149474,0.8020910702812067,Negative,carinomitra typha
raw,Carinomitra_typha,Carinomitra typha,italic(Carinomitra typha),Other,growth_vol_b,44,-0.006224906247021449,0.968011012176857,0.9805893799645959,Negative,carinomitra typha
raw,Carinomitra_typha,Carinomitra typha,italic(Carinomitra typha),Other,protein_mg_cm2,44,-0.08127860849105259,0.5999381615448743,0.8897294631367394,Negative,carinomitra typha
raw,Carinomitra_typha,Carinomitra typha,italic(Carinomitra typha),Other,zoox_cells_cm2,44,0.04157798320566367,0.7887199160371798,0.9484606585257226,Positive,carinomitra typha
raw,Cellana_taitensis,Cellana taitensis,italic(Cellana taitensis),Other,afdw_mg_cm2,44,0.08791693697437092,0.5703833130399765,0.8897294631367394,Positive,cellana taitensis
raw,Cellana_taitensis,Cellana taitensis,italic(Cellana taitensis),Other,carb_mg_cm2,44,-0.07625222953838921,0.6227503011810576,0.8935646459240517,Negative,cellana taitensis
raw,Cellana_taitensis,Cellana taitensis,italic(Cellana taitensis),Other,growth_vol_b,44,-0.013919036078697673,0.9285457033303794,0.9788438109037493,Negative,cellana taitensis
raw,Cellana_taitensis,Cellana taitensis,italic(Cellana taitensis),Other,protein_mg_cm2,44,-0.17344431709920669,0.2601918007103748,0.7973619699188904,Negative,cellana taitensis
raw,Cellana_taitensis,Cellana taitensis,italic(Cellana taitensis),Other,zoox_cells_cm2,44,0.029975859074720536,0.8468364379939451,0.9692706218002987,Positive,cellana taitensis
raw,Cerithium_zebrum,Cerithium zebrum,italic(Cerithium zebrum),Other,afdw_mg_cm2,44,0.1165677715071331,0.451126846585887,0.8897294631367394,Positive,cerithium zebrum
raw,Cerithium_zebrum,Cerithium zebrum,italic(Cerithium zebrum),Other,carb_mg_cm2,44,-0.19337227478443902,0.20851091639355465,0.7674695299352391,Negative,cerithium zebrum
raw,Cerithium_zebrum,Cerithium zebrum,italic(Cerithium zebrum),Other,growth_vol_b,44,-0.03650141580608281,0.8140294516033184,0.9606558745629223,Negative,cerithium zebrum
raw,Cerithium_zebrum,Cerithium zebrum,italic(Cerithium zebrum),Other,protein_mg_cm2,44,-0.11103300394291576,0.47304714166055983,0.8897294631367394,Negative,cerithium zebrum
raw,Cerithium_zebrum,Cerithium zebrum,italic(Cerithium zebrum),Other,zoox_cells_cm2,44,-0.03691099034332475,0.8119801687112185,0.9606558745629223,Negative,cerithium zebrum
raw,Chlorodiella_barbata,Chlorodiella barbata,italic(Chlorodiella barbata),Other,afdw_mg_cm2,44,0.009080702405299658,0.9533490372802945,0.9805893799645959,Positive,chlorodiella barbata
raw,Chlorodiella_barbata,Chlorodiella barbata,italic(Chlorodiella barbata),Other,carb_mg_cm2,44,-0.01853505511283123,0.9049439243313053,0.9769281001303864,Negative,chlorodiella barbata
raw,Chlorodiella_barbata,Chlorodiella barbata,italic(Chlorodiella barbata),Other,growth_vol_b,44,0.03009194269736765,0.846250418188607,0.9692706218002987,Positive,chlorodiella barbata
raw,Chlorodiella_barbata,Chlorodiella barbata,italic(Chlorodiella barbata),Other,protein_mg_cm2,44,-0.06240089241609098,0.687391755414331,0.9053807017178195,Negative,chlorodiella barbata
raw,Chlorodiella_barbata,Chlorodiella barbata,italic(Chlorodiella barbata),Other,zoox_cells_cm2,44,0.06296887967548327,0.6846932658883924,0.9053807017178195,Positive,chlorodiella barbata
raw,Coralliogalathea_humilis,Coralliogalathea humilis,italic(Coralliogalathea humilis),Other,afdw_mg_cm2,44,-0.07932479132857768,0.6087622642514533,0.8897294631367394,Negative,coralliogalathea humilis
raw,Coralliogalathea_humilis,Coralliogalathea humilis,italic(Coralliogalathea humilis),Other,carb_mg_cm2,44,-0.18357938609164434,0.23293148041930364,0.7674695299352391,Negative,coralliogalathea humilis
raw,Coralliogalathea_humilis,Coralliogalathea humilis,italic(Coralliogalathea humilis),Other,growth_vol_b,44,0.06892894587488034,0.6566163218749843,0.9002668247807769,Positive,coralliogalathea humilis
raw,Coralliogalathea_humilis,Coralliogalathea humilis,italic(Coralliogalathea humilis),Other,protein_mg_cm2,44,-0.1662034142000032,0.2809214538362721,0.8020910702812067,Negative,coralliogalathea humilis
raw,Coralliogalathea_humilis,Coralliogalathea humilis,italic(Coralliogalathea humilis),Other,zoox_cells_cm2,44,-0.034028273548841276,0.8264292939797385,0.969268925037965,Negative,coralliogalathea humilis
raw,Dascyllus_aruanus,Dascyllus aruanus,italic(Dascyllus aruanus),Other,afdw_mg_cm2,44,0.13578490315012645,0.37948483938723165,0.8193422668587956,Positive,dascyllus aruanus
raw,Dascyllus_aruanus,Dascyllus aruanus,italic(Dascyllus aruanus),Other,carb_mg_cm2,44,0.22971741886557367,0.1336020169784272,0.764026758442577,Positive,dascyllus aruanus
raw,Dascyllus_aruanus,Dascyllus aruanus,italic(Dascyllus aruanus),Other,growth_vol_b,44,0.464818962771574,0.001478620874451249,0.14046898307286865,Positive,dascyllus aruanus
raw,Dascyllus_aruanus,Dascyllus aruanus,italic(Dascyllus aruanus),Other,protein_mg_cm2,44,0.28663935178736427,0.059239602006087085,0.6605704082354257,Positive,dascyllus aruanus
raw,Dascyllus_aruanus,Dascyllus aruanus,italic(Dascyllus aruanus),Other,zoox_cells_cm2,44,0.007091698392429887,0.96355948315762,0.9805893799645959,Positive,dascyllus aruanus
raw,Dascyllus_flavicaudus,Dascyllus flavicaudus,italic(Dascyllus flavicaudus),Other,afdw_mg_cm2,44,0.164531559507897,0.28585708224342565,0.8020910702812067,Positive,dascyllus flavicaudus
raw,Dascyllus_flavicaudus,Dascyllus flavicaudus,italic(Dascyllus flavicaudus),Other,carb_mg_cm2,44,0.08153393850956168,0.5987891380698264,0.8897294631367394,Positive,dascyllus flavicaudus
raw,Dascyllus_flavicaudus,Dascyllus flavicaudus,italic(Dascyllus flavicaudus),Other,growth_vol_b,44,0.18305957134584647,0.23428017229602036,0.7674695299352391,Positive,dascyllus flavicaudus
raw,Dascyllus_flavicaudus,Dascyllus flavicaudus,italic(Dascyllus flavicaudus),Other,protein_mg_cm2,44,0.2121006758378948,0.1669108152040785,0.764026758442577,Positive,dascyllus flavicaudus
raw,Dascyllus_flavicaudus,Dascyllus flavicaudus,italic(Dascyllus flavicaudus),Other,zoox_cells_cm2,44,3.3517013386773046e-4,0.9982771603740266,0.9982771603740266,Positive,dascyllus flavicaudus
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,afdw_mg_cm2,44,0.10953319143767316,0.4790828375340136,0.8897294631367394,Positive,diala albugo
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,carb_mg_cm2,44,-0.19168086869548673,0.21259556630369525,0.7674695299352391,Negative,diala albugo
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,growth_vol_b,44,-0.2009674038982219,0.19084536147019637,0.7674695299352391,Negative,diala albugo
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,protein_mg_cm2,44,-0.24995128823823137,0.10176655746133778,0.764026758442577,Negative,diala albugo
raw,Diala_albugo,Diala albugo,italic(Diala albugo),Other,zoox_cells_cm2,44,0.07996875509329991,0.6058477534138833,0.8897294631367394,Positive,diala albugo
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,afdw_mg_cm2,44,-0.06593183879489391,0.6706798136135119,0.9037529403302642,Negative,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,carb_mg_cm2,44,-0.15608282439438786,0.3116582896368171,0.8020910702812067,Negative,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,growth_vol_b,44,0.02482245255540921,0.8729299486522191,0.9768909486244352,Positive,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,protein_mg_cm2,44,-0.1769181607940814,0.2506185468857983,0.7877518325587761,Negative,diala semistriata
raw,Diala_semistriata,Diala semistriata,italic(Diala semistriata),Other,zoox_cells_cm2,44,0.0048631289720188625,0.9750064939853618,0.9805893799645959,Positive,diala semistriata
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,afdw_mg_cm2,44,0.22262866386388339,0.14635178860442105,0.764026758442577,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,carb_mg_cm2,44,0.3347907257791374,0.02632677641863177,0.6605704082354257,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,growth_vol_b,44,0.16053876613359708,0.29787171911412896,0.8020910702812067,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,protein_mg_cm2,44,0.3620728443024214,0.015728546111250477,0.6605704082354257,Positive,fennera chacei
raw,Fennera_chacei,Fennera chacei,italic(Fennera chacei),Other,zoox_cells_cm2,44,0.15616624217273767,0.3113965327902856,0.8020910702812067,Positive,fennera chacei
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,afdw_mg_cm2,44,-0.06850123943120369,0.6586162560238316,0.9002668247807769,Negative,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,carb_mg_cm2,44,-0.0418291286292844,0.7874731482973106,0.9484606585257226,Negative,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,growth_vol_b,44,-0.013009551218167903,0.9332037084397105,0.9788438109037493,Negative,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,protein_mg_cm2,44,0.01586973453739339,0.9185631840286397,0.9788438109037493,Positive,galathea mauritiana
raw,Galathea_mauritiana,Galathea mauritiana,italic(Galathea mauritiana),Other,zoox_cells_cm2,44,-0.11013804519568128,0.47664386149884874,0.8897294631367394,Negative,galathea mauritiana
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,afdw_mg_cm2,44,0.007002645745076649,0.9640167769632983,0.9805893799645959,Positive,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,carb_mg_cm2,44,-0.1881822767729806,0.22122040349205724,0.7674695299352391,Negative,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,growth_vol_b,44,-0.07133006676486978,0.6454331087071139,0.8951262091558514,Negative,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,protein_mg_cm2,44,-0.20882471642616998,0.1737154660865542,0.764026758442577,Negative,galeropsis monodonta
raw,Galeropsis_monodonta,Galeropsis monodonta,italic(Galeropsis monodonta),Other,zoox_cells_cm2,44,0.2724842175557817,0.07354181341035561,0.735418134103556,Positive,galeropsis monodonta
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,afdw_mg_cm2,44,0.08460330995859859,0.5850525007657696,0.8897294631367394,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,carb_mg_cm2,44,0.08614503433866053,0.5782063850822605,0.8897294631367394,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,growth_vol_b,44,0.04658098784163972,0.7639855461700064,0.9477200653206272,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,protein_mg_cm2,44,0.05123044607069617,0.7412047744233206,0.9373501055927501,Positive,halichoeres trimaculatus
raw,Halichoeres_trimaculatus,Halichoeres trimaculatus,italic(Halichoeres trimaculatus),Other,zoox_cells_cm2,44,0.15947322995355165,0.3011321609709722,0.8020910702812067,Positive,halichoeres trimaculatus
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,afdw_mg_cm2,44,0.014773247866861794,0.9241729290658203,0.9788438109037493,Positive,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,carb_mg_cm2,44,-0.22478247636880158,0.1423866402817187,0.764026758442577,Negative,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,growth_vol_b,44,0.14168116248017934,0.358938043281238,0.8020910702812067,Positive,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,protein_mg_cm2,44,-0.21279436932704965,0.16549503178253444,0.764026758442577,Negative,hargeria rapax
raw,Hargeria_rapax,Hargeria rapax,italic(Hargeria rapax),Other,zoox_cells_cm2,44,-0.07427783207374895,0.6318090514571775,0.8935646459240517,Negative,hargeria rapax
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,afdw_mg_cm2,44,0.11435838731178334,0.4598099039619119,0.8897294631367394,Positive,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,carb_mg_cm2,44,-0.04314411314526931,0.780953770400811,0.9484606585257226,Negative,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,growth_vol_b,44,0.2384989633320884,0.11897906640549295,0.764026758442577,Positive,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,protein_mg_cm2,44,-0.08705207694183079,0.5741956546663791,0.8897294631367394,Negative,harpiliopsis beaupresii
raw,Harpiliopsis_beaupresii,Harpiliopsis beaupresii,italic(Harpiliopsis beaupresii),Other,zoox_cells_cm2,44,0.2513783544476886,0.09976315806119507,0.764026758442577,Positive,harpiliopsis beaupresii
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,afdw_mg_cm2,44,0.08218166476394949,0.5958785970195168,0.8897294631367394,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,carb_mg_cm2,44,0.19938991674462933,0.19442405534931695,0.7674695299352391,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,growth_vol_b,44,0.3243226131225705,0.031728715208871994,0.6605704082354257,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,protein_mg_cm2,44,0.18819428912296504,0.2211903828860542,0.7674695299352391,Positive,harpiliopsis spinigera
raw,Harpiliopsis_spinigera,Harpiliopsis spinigera,italic(Harpiliopsis spinigera),Other,zoox_cells_cm2,44,0.057169515122400046,0.7124227094183532,0.9134939005544624,Positive,harpiliopsis spinigera
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,afdw_mg_cm2,44,-0.23462097796289974,0.1252799679775562,0.764026758442577,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,carb_mg_cm2,44,-0.2628050081147262,0.08479689772064761,0.764026758442577,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,growth_vol_b,44,-0.15667922379154495,0.30978991925066884,0.8020910702812067,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,protein_mg_cm2,44,-0.28760339064118384,0.058352899154735474,0.6605704082354257,Negative,luniella pugil
raw,Luniella_pugil,Luniella pugil,italic(Luniella pugil),Other,zoox_cells_cm2,44,-0.14173182062407003,0.35876448909177094,0.8020910702812067,Negative,luniella pugil
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,afdw_mg_cm2,44,-0.1321910923120326,0.39234302090058315,0.8375862243945034,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,carb_mg_cm2,44,-0.214479527341173,0.16209204675602712,0.764026758442577,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,growth_vol_b,44,-0.1806328979373647,0.24064681829952936,0.7749643301171284,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,protein_mg_cm2,44,-0.12181803535246584,0.4308562330872928,0.8897294631367394,Negative,macteola interrupta
raw,Macteola_interrupta,Macteola interrupta,italic(Macteola interrupta),Other,zoox_cells_cm2,44,-0.03143136700696953,0.8394946674326133,0.9692706218002987,Negative,macteola interrupta
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,afdw_mg_cm2,44,-0.22773645878388057,0.13707841690035028,0.764026758442577,Negative,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,carb_mg_cm2,44,-0.2582381607627275,0.09055316230137307,0.764026758442577,Negative,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,growth_vol_b,44,0.09360830458063951,0.5455902098349144,0.8897294631367394,Positive,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,protein_mg_cm2,44,-0.28310771058032663,0.06258035446440875,0.6605704082354257,Negative,menaethius monoceros
raw,Menaethius_monoceros,Menaethius monoceros,italic(Menaethius monoceros),Other,zoox_cells_cm2,44,0.10110400188740072,0.513744835330318,0.8897294631367394,Positive,menaethius monoceros
raw,Mitrella_moleculina,Mitrella moleculina,italic(Mitrella moleculina),Other,afdw_mg_cm2,44,-0.2241757539560027,0.14349547748575292,0.764026758442577,Negative,mitrella moleculina
