metric,test,p
bray,permdisp_p,0.085
bray,adonis_p,0.001
bray,permdisp_p,0.305
bray,adonis_p,0.001
bray,permdisp_p,0.334
bray,adonis_p,0.001
bray,permdisp_p,0.272
bray,adonis_p,0.001
bray,permdisp_p,0.414
bray,adonis_p,0.001
bray,permdisp_p,0.305
bray,adonis_p,0.001
bray,permdisp_p,0.369
bray,adonis_p,0.001
bray,permdisp_p,0.303
bray,adonis_p,0.001
bray,permdisp_p,0.166
bray,adonis_p,0.002
bray,permdisp_p,0.281
bray,adonis_p,0.001
bray,permdisp_p,0.258
bray,adonis_p,0.001
bray,permdisp_p,0.306
bray,adonis_p,0.001
bray,permdisp_p,0.235
bray,adonis_p,0.001
bray,permdisp_p,0.273
bray,adonis_p,0.001
bray,permdisp_p,0.114
bray,adonis_p,0.001
bray,permdisp_p,0.185
bray,adonis_p,0.002
bray,permdisp_p,0.209
bray,adonis_p,0.002
bray,permdisp_p,0.226
bray,adonis_p,0.001
bray,permdisp_p,0.325
bray,adonis_p,0.001
bray,permdisp_p,0.269
bray,adonis_p,0.001
bray,permdisp_p,0.356
bray,adonis_p,0.001
bray,permdisp_p,0.187
bray,adonis_p,0.002
bray,permdisp_p,0.18
bray,adonis_p,0.001
bray,permdisp_p,0.261
bray,adonis_p,0.001
bray,permdisp_p,0.271
bray,adonis_p,0.001
bray,permdisp_p,0.395
bray,adonis_p,0.001
bray,permdisp_p,0.314
bray,adonis_p,0.001
bray,permdisp_p,0.07
bray,adonis_p,0.001
bray,permdisp_p,0.204
bray,adonis_p,0.002
bray,permdisp_p,0.235
bray,adonis_p,0.001
bray,permdisp_p,0.205
bray,adonis_p,0.002
bray,permdisp_p,0.245
bray,adonis_p,0.001
bray,permdisp_p,0.269
bray,adonis_p,0.001
bray,permdisp_p,0.231
bray,adonis_p,0.001
bray,permdisp_p,0.181
bray,adonis_p,0.001
bray,permdisp_p,0.433
bray,adonis_p,0.001
bray,permdisp_p,0.264
bray,adonis_p,0.002
bray,permdisp_p,0.36
bray,adonis_p,0.001
bray,permdisp_p,0.263
bray,adonis_p,0.001
bray,permdisp_p,0.349
bray,adonis_p,0.001
bray,permdisp_p,0.307
bray,adonis_p,0.001
bray,permdisp_p,0.182
bray,adonis_p,0.002
bray,permdisp_p,0.395
bray,adonis_p,0.002
bray,permdisp_p,0.254
bray,adonis_p,0.001
bray,permdisp_p,0.25
bray,adonis_p,0.001
bray,permdisp_p,0.365
bray,adonis_p,0.001
bray,permdisp_p,0.368
bray,adonis_p,0.001
bray,permdisp_p,0.217
bray,adonis_p,0.001
bray,permdisp_p,0.294
bray,adonis_p,0.001
bray,permdisp_p,0.253
bray,adonis_p,0.002
bray,permdisp_p,0.282
bray,adonis_p,0.001
bray,permdisp_p,0.255
bray,adonis_p,0.001
bray,permdisp_p,0.293
bray,adonis_p,0.001
bray,permdisp_p,0.28
bray,adonis_p,0.001
bray,permdisp_p,0.389
bray,adonis_p,0.001
bray,permdisp_p,0.291
bray,adonis_p,0.003
bray,permdisp_p,0.328
bray,adonis_p,0.001
bray,permdisp_p,0.199
bray,adonis_p,0.002
bray,permdisp_p,0.263
bray,adonis_p,0.001
bray,permdisp_p,0.432
bray,adonis_p,0.002
bray,permdisp_p,0.317
bray,adonis_p,0.001
bray,permdisp_p,0.321
bray,adonis_p,0.001
bray,permdisp_p,0.378
bray,adonis_p,0.001
bray,permdisp_p,0.238
bray,adonis_p,0.001
bray,permdisp_p,0.318
bray,adonis_p,0.001
bray,permdisp_p,0.402
bray,adonis_p,0.001
bray,permdisp_p,0.232
bray,adonis_p,0.001
bray,permdisp_p,0.242
bray,adonis_p,0.001
bray,permdisp_p,0.4
bray,adonis_p,0.001
bray,permdisp_p,0.316
bray,adonis_p,0.001
bray,permdisp_p,0.36
bray,adonis_p,0.001
bray,permdisp_p,0.248
bray,adonis_p,0.001
bray,permdisp_p,0.275
bray,adonis_p,0.001
bray,permdisp_p,0.31
bray,adonis_p,0.002
bray,permdisp_p,0.239
bray,adonis_p,0.001
bray,permdisp_p,0.242
bray,adonis_p,0.001
bray,permdisp_p,0.251
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.264
bray,adonis_p,0.001
bray,permdisp_p,0.104
bray,adonis_p,0.002
bray,permdisp_p,0.321
bray,adonis_p,0.001
bray,permdisp_p,0.166
bray,adonis_p,0.002
bray,permdisp_p,0.265
bray,adonis_p,0.001
bray,permdisp_p,0.26
bray,adonis_p,0.001
bray,permdisp_p,0.059
bray,adonis_p,0.001
bray,permdisp_p,0.32
bray,adonis_p,0.001
bray,permdisp_p,0.26
bray,adonis_p,0.001
bray,permdisp_p,0.237
bray,adonis_p,0.001
bray,permdisp_p,0.222
bray,adonis_p,0.001
bray,permdisp_p,0.341
bray,adonis_p,0.001
bray,permdisp_p,0.223
bray,adonis_p,0.001
bray,permdisp_p,0.268
bray,adonis_p,0.001
bray,permdisp_p,0.31
bray,adonis_p,0.001
bray,permdisp_p,0.272
bray,adonis_p,0.001
bray,permdisp_p,0.182
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.294
bray,adonis_p,0.001
bray,permdisp_p,0.427
bray,adonis_p,0.001
bray,permdisp_p,0.431
bray,adonis_p,0.001
bray,permdisp_p,0.112
bray,adonis_p,0.001
bray,permdisp_p,0.37
bray,adonis_p,0.001
bray,permdisp_p,0.225
bray,adonis_p,0.001
bray,permdisp_p,0.228
bray,adonis_p,0.001
bray,permdisp_p,0.316
bray,adonis_p,0.001
bray,permdisp_p,0.144
bray,adonis_p,0.001
bray,permdisp_p,0.228
bray,adonis_p,0.001
bray,permdisp_p,0.291
bray,adonis_p,0.001
bray,permdisp_p,0.305
bray,adonis_p,0.001
bray,permdisp_p,0.271
bray,adonis_p,0.001
bray,permdisp_p,0.309
bray,adonis_p,0.001
bray,permdisp_p,0.222
bray,adonis_p,0.001
bray,permdisp_p,0.18
bray,adonis_p,0.002
bray,permdisp_p,0.253
bray,adonis_p,0.001
bray,permdisp_p,0.266
bray,adonis_p,0.001
bray,permdisp_p,0.255
bray,adonis_p,0.001
bray,permdisp_p,0.106
bray,adonis_p,0.001
bray,permdisp_p,0.075
bray,adonis_p,0.001
bray,permdisp_p,0.234
bray,adonis_p,0.001
bray,permdisp_p,0.258
bray,adonis_p,0.001
bray,permdisp_p,0.263
bray,adonis_p,0.001
bray,permdisp_p,0.263
bray,adonis_p,0.001
bray,permdisp_p,0.308
bray,adonis_p,0.001
bray,permdisp_p,0.124
bray,adonis_p,0.001
bray,permdisp_p,0.391
bray,adonis_p,0.001
bray,permdisp_p,0.284
bray,adonis_p,0.001
bray,permdisp_p,0.316
bray,adonis_p,0.001
bray,permdisp_p,0.26
bray,adonis_p,0.001
bray,permdisp_p,0.435
bray,adonis_p,0.001
bray,permdisp_p,0.427
bray,adonis_p,0.001
bray,permdisp_p,0.285
bray,adonis_p,0.001
bray,permdisp_p,0.311
bray,adonis_p,0.001
bray,permdisp_p,0.295
bray,adonis_p,0.001
bray,permdisp_p,0.392
bray,adonis_p,0.001
bray,permdisp_p,0.164
bray,adonis_p,0.001
bray,permdisp_p,0.271
bray,adonis_p,0.001
bray,permdisp_p,0.35
bray,adonis_p,0.001
bray,permdisp_p,0.344
bray,adonis_p,0.001
bray,permdisp_p,0.41
bray,adonis_p,0.001
bray,permdisp_p,0.232
bray,adonis_p,0.001
bray,permdisp_p,0.15
bray,adonis_p,0.001
bray,permdisp_p,0.315
bray,adonis_p,0.001
bray,permdisp_p,0.249
bray,adonis_p,0.001
bray,permdisp_p,0.258
bray,adonis_p,0.001
bray,permdisp_p,0.272
bray,adonis_p,0.001
bray,permdisp_p,0.363
bray,adonis_p,0.001
bray,permdisp_p,0.24
bray,adonis_p,0.001
bray,permdisp_p,0.278
bray,adonis_p,0.001
bray,permdisp_p,0.225
bray,adonis_p,0.001
bray,permdisp_p,0.237
bray,adonis_p,0.001
bray,permdisp_p,0.095
bray,adonis_p,0.001
bray,permdisp_p,0.248
bray,adonis_p,0.001
bray,permdisp_p,0.245
bray,adonis_p,0.001
bray,permdisp_p,0.263
bray,adonis_p,0.001
bray,permdisp_p,0.196
bray,adonis_p,0.001
bray,permdisp_p,0.189
bray,adonis_p,0.001
bray,permdisp_p,0.21
bray,adonis_p,0.001
bray,permdisp_p,0.236
bray,adonis_p,0.001
bray,permdisp_p,0.218
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.177
bray,adonis_p,0.001
bray,permdisp_p,0.252
bray,adonis_p,0.001
bray,permdisp_p,0.238
bray,adonis_p,0.001
bray,permdisp_p,0.242
bray,adonis_p,0.001
bray,permdisp_p,0.259
bray,adonis_p,0.001
bray,permdisp_p,0.184
bray,adonis_p,0.001
bray,permdisp_p,0.181
bray,adonis_p,0.001
bray,permdisp_p,0.197
bray,adonis_p,0.001
bray,permdisp_p,0.285
bray,adonis_p,0.001
bray,permdisp_p,0.26
bray,adonis_p,0.001
bray,permdisp_p,0.214
bray,adonis_p,0.001
bray,permdisp_p,0.37
bray,adonis_p,0.001
bray,permdisp_p,0.273
bray,adonis_p,0.001
bray,permdisp_p,0.312
bray,adonis_p,0.001
bray,permdisp_p,0.332
bray,adonis_p,0.001
bray,permdisp_p,0.26
bray,adonis_p,0.001
bray,permdisp_p,0.427
bray,adonis_p,0.001
bray,permdisp_p,0.307
bray,adonis_p,0.001
bray,permdisp_p,0.444
bray,adonis_p,0.001
bray,permdisp_p,0.37
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.241
bray,adonis_p,0.001
bray,permdisp_p,0.383
bray,adonis_p,0.001
bray,permdisp_p,0.303
bray,adonis_p,0.001
bray,permdisp_p,0.264
bray,adonis_p,0.001
bray,permdisp_p,0.182
bray,adonis_p,0.001
bray,permdisp_p,0.246
bray,adonis_p,0.001
bray,permdisp_p,0.231
bray,adonis_p,0.001
bray,permdisp_p,0.172
bray,adonis_p,0.001
bray,permdisp_p,0.184
bray,adonis_p,0.001
bray,permdisp_p,0.264
bray,adonis_p,0.001
bray,permdisp_p,0.274
bray,adonis_p,0.001
bray,permdisp_p,0.279
bray,adonis_p,0.001
bray,permdisp_p,0.291
bray,adonis_p,0.001
bray,permdisp_p,0.163
bray,adonis_p,0.001
bray,permdisp_p,0.27
bray,adonis_p,0.001
bray,permdisp_p,0.246
bray,adonis_p,0.001
bray,permdisp_p,0.236
bray,adonis_p,0.001
bray,permdisp_p,0.187
bray,adonis_p,0.001
bray,permdisp_p,0.271
bray,adonis_p,0.001
bray,permdisp_p,0.223
bray,adonis_p,0.001
bray,permdisp_p,0.409
bray,adonis_p,0.001
bray,permdisp_p,0.252
bray,adonis_p,0.001
bray,permdisp_p,0.249
bray,adonis_p,0.001
bray,permdisp_p,0.4
bray,adonis_p,0.001
bray,permdisp_p,0.302
bray,adonis_p,0.001
bray,permdisp_p,0.186
bray,adonis_p,0.002
bray,permdisp_p,0.376
bray,adonis_p,0.002
bray,permdisp_p,0.391
bray,adonis_p,0.001
bray,permdisp_p,0.264
bray,adonis_p,0.001
bray,permdisp_p,0.316
bray,adonis_p,0.001
bray,permdisp_p,0.163
bray,adonis_p,0.001
bray,permdisp_p,0.24
bray,adonis_p,0.001
bray,permdisp_p,0.174
bray,adonis_p,0.001
bray,permdisp_p,0.313
bray,adonis_p,0.001
bray,permdisp_p,0.27
bray,adonis_p,0.001
bray,permdisp_p,0.19
bray,adonis_p,0.001
bray,permdisp_p,0.225
bray,adonis_p,0.001
bray,permdisp_p,0.334
bray,adonis_p,0.001
bray,permdisp_p,0.336
bray,adonis_p,0.001
bray,permdisp_p,0.313
bray,adonis_p,0.001
bray,permdisp_p,0.168
bray,adonis_p,0.001
bray,permdisp_p,0.226
bray,adonis_p,0.001
bray,permdisp_p,0.266
bray,adonis_p,0.001
bray,permdisp_p,0.28
bray,adonis_p,0.001
bray,permdisp_p,0.267
bray,adonis_p,0.001
bray,permdisp_p,0.256
bray,adonis_p,0.001
bray,permdisp_p,0.266
bray,adonis_p,0.001
bray,permdisp_p,0.358
bray,adonis_p,0.001
bray,permdisp_p,0.414
bray,adonis_p,0.001
bray,permdisp_p,0.308
bray,adonis_p,0.001
bray,permdisp_p,0.227
bray,adonis_p,0.001
bray,permdisp_p,0.204
bray,adonis_p,0.001
bray,permdisp_p,0.265
bray,adonis_p,0.001
bray,permdisp_p,0.247
bray,adonis_p,0.001
bray,permdisp_p,0.225
bray,adonis_p,0.001
bray,permdisp_p,0.336
bray,adonis_p,0.001
bray,permdisp_p,0.241
bray,adonis_p,0.002
bray,permdisp_p,0.241
bray,adonis_p,0.002
bray,permdisp_p,0.299
bray,adonis_p,0.001
bray,permdisp_p,0.371
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.111
bray,adonis_p,0.001
bray,permdisp_p,0.349
bray,adonis_p,0.001
bray,permdisp_p,0.345
bray,adonis_p,0.002
bray,permdisp_p,0.315
bray,adonis_p,0.002
bray,permdisp_p,0.21
bray,adonis_p,0.001
bray,permdisp_p,0.338
bray,adonis_p,0.001
bray,permdisp_p,0.325
bray,adonis_p,0.001
bray,permdisp_p,0.259
bray,adonis_p,0.002
bray,permdisp_p,0.337
bray,adonis_p,0.001
bray,permdisp_p,0.095
bray,adonis_p,0.001
bray,permdisp_p,0.209
bray,adonis_p,0.001
bray,permdisp_p,0.231
bray,adonis_p,0.001
bray,permdisp_p,0.236
bray,adonis_p,0.001
bray,permdisp_p,0.17
bray,adonis_p,0.002
bray,permdisp_p,0.22
bray,adonis_p,0.002
bray,permdisp_p,0.267
bray,adonis_p,0.001
bray,permdisp_p,0.194
bray,adonis_p,0.001
bray,permdisp_p,0.114
bray,adonis_p,0.001
bray,permdisp_p,0.261
bray,adonis_p,0.001
bray,permdisp_p,0.25
bray,adonis_p,0.001
bray,permdisp_p,0.22
bray,adonis_p,0.001
bray,permdisp_p,0.282
bray,adonis_p,0.001
bray,permdisp_p,0.115
bray,adonis_p,0.003
bray,permdisp_p,0.338
bray,adonis_p,0.001
bray,permdisp_p,0.33
bray,adonis_p,0.001
bray,permdisp_p,0.231
bray,adonis_p,0.001
bray,permdisp_p,0.297
bray,adonis_p,0.001
bray,permdisp_p,0.278
bray,adonis_p,0.002
bray,permdisp_p,0.172
bray,adonis_p,0.001
bray,permdisp_p,0.242
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.362
bray,adonis_p,0.001
bray,permdisp_p,0.27
bray,adonis_p,0.001
bray,permdisp_p,0.301
bray,adonis_p,0.001
bray,permdisp_p,0.252
bray,adonis_p,0.001
bray,permdisp_p,0.272
bray,adonis_p,0.001
bray,permdisp_p,0.26
bray,adonis_p,0.001
bray,permdisp_p,0.318
bray,adonis_p,0.001
bray,permdisp_p,0.242
bray,adonis_p,0.001
bray,permdisp_p,0.326
bray,adonis_p,0.001
bray,permdisp_p,0.246
bray,adonis_p,0.001
bray,permdisp_p,0.352
bray,adonis_p,0.001
bray,permdisp_p,0.413
bray,adonis_p,0.001
bray,permdisp_p,0.238
bray,adonis_p,0.001
bray,permdisp_p,0.38
bray,adonis_p,0.001
bray,permdisp_p,0.319
bray,adonis_p,0.001
bray,permdisp_p,0.245
bray,adonis_p,0.001
bray,permdisp_p,0.389
bray,adonis_p,0.001
bray,permdisp_p,0.267
bray,adonis_p,0.001
bray,permdisp_p,0.33
bray,adonis_p,0.001
bray,permdisp_p,0.349
bray,adonis_p,0.001
bray,permdisp_p,0.237
bray,adonis_p,0.001
bray,permdisp_p,0.143
bray,adonis_p,0.001
bray,permdisp_p,0.122
bray,adonis_p,0.001
bray,permdisp_p,0.262
bray,adonis_p,0.001
bray,permdisp_p,0.175
bray,adonis_p,0.001
bray,permdisp_p,0.201
bray,adonis_p,0.001
bray,permdisp_p,0.167
bray,adonis_p,0.001
bray,permdisp_p,0.194
bray,adonis_p,0.002
bray,permdisp_p,0.224
bray,adonis_p,0.001
bray,permdisp_p,0.349
bray,adonis_p,0.001
bray,permdisp_p,0.235
bray,adonis_p,0.001
bray,permdisp_p,0.293
bray,adonis_p,0.001
bray,permdisp_p,0.292
bray,adonis_p,0.001
bray,permdisp_p,0.175
bray,adonis_p,0.001
bray,permdisp_p,0.275
bray,adonis_p,0.001
bray,permdisp_p,0.194
bray,adonis_p,0.001
bray,permdisp_p,0.275
bray,adonis_p,0.002
bray,permdisp_p,0.314
bray,adonis_p,0.001
bray,permdisp_p,0.28
bray,adonis_p,0.001
bray,permdisp_p,0.29
bray,adonis_p,0.001
bray,permdisp_p,0.243
bray,adonis_p,0.001
bray,permdisp_p,0.183
bray,adonis_p,0.001
bray,permdisp_p,0.328
bray,adonis_p,0.001
bray,permdisp_p,0.252
bray,adonis_p,0.001
bray,permdisp_p,0.27
bray,adonis_p,0.001
bray,permdisp_p,0.288
bray,adonis_p,0.001
bray,permdisp_p,0.171
bray,adonis_p,0.001
bray,permdisp_p,0.282
bray,adonis_p,0.001
bray,permdisp_p,0.227
bray,adonis_p,0.002
bray,permdisp_p,0.225
bray,adonis_p,0.001
bray,permdisp_p,0.408
bray,adonis_p,0.001
bray,permdisp_p,0.356
bray,adonis_p,0.001
bray,permdisp_p,0.334
bray,adonis_p,0.001
bray,permdisp_p,0.224
bray,adonis_p,0.001
bray,permdisp_p,0.171
bray,adonis_p,0.001
bray,permdisp_p,0.184
bray,adonis_p,0.001
bray,permdisp_p,0.414
bray,adonis_p,0.002
bray,permdisp_p,0.257
bray,adonis_p,0.001
bray,permdisp_p,0.337
bray,adonis_p,0.001
bray,permdisp_p,0.278
bray,adonis_p,0.002
bray,permdisp_p,0.239
bray,adonis_p,0.001
bray,permdisp_p,0.311
bray,adonis_p,0.001
bray,permdisp_p,0.276
bray,adonis_p,0.001
bray,permdisp_p,0.435
bray,adonis_p,0.003
bray,permdisp_p,0.233
bray,adonis_p,0.002
bray,permdisp_p,0.266
bray,adonis_p,0.001
bray,permdisp_p,0.438
bray,adonis_p,0.001
bray,permdisp_p,0.301
bray,adonis_p,0.001
bray,permdisp_p,0.324
bray,adonis_p,0.001
bray,permdisp_p,0.143
bray,adonis_p,0.001
bray,permdisp_p,0.259
bray,adonis_p,0.001
bray,permdisp_p,0.261
bray,adonis_p,0.001
bray,permdisp_p,0.117
bray,adonis_p,0.001
bray,permdisp_p,0.434
bray,adonis_p,0.002
bray,permdisp_p,0.252
bray,adonis_p,0.001
bray,permdisp_p,0.298
bray,adonis_p,0.001
bray,permdisp_p,0.167
bray,adonis_p,0.001
bray,permdisp_p,0.267
bray,adonis_p,0.001
bray,permdisp_p,0.256
bray,adonis_p,0.002
bray,permdisp_p,0.256
bray,adonis_p,0.002
bray,permdisp_p,0.263
bray,adonis_p,0.001
bray,permdisp_p,0.348
bray,adonis_p,0.001
bray,permdisp_p,0.281
bray,adonis_p,0.001
bray,permdisp_p,0.317
bray,adonis_p,0.001
bray,permdisp_p,0.419
bray,adonis_p,0.001
bray,permdisp_p,0.22
bray,adonis_p,0.001
bray,permdisp_p,0.406
bray,adonis_p,0.001
bray,permdisp_p,0.11
bray,adonis_p,0.001
bray,permdisp_p,0.208
bray,adonis_p,0.001
bray,permdisp_p,0.39
bray,adonis_p,0.001
bray,permdisp_p,0.284
bray,adonis_p,0.001
bray,permdisp_p,0.239
bray,adonis_p,0.001
bray,permdisp_p,0.444
bray,adonis_p,0.001
bray,permdisp_p,0.268
bray,adonis_p,0.001
bray,permdisp_p,0.248
bray,adonis_p,0.001
bray,permdisp_p,0.208
bray,adonis_p,0.001
bray,permdisp_p,0.31
bray,adonis_p,0.001
bray,permdisp_p,0.28
bray,adonis_p,0.001
bray,permdisp_p,0.284
bray,adonis_p,0.001
bray,permdisp_p,0.279
bray,adonis_p,0.001
bray,permdisp_p,0.253
bray,adonis_p,0.001
bray,permdisp_p,0.335
bray,adonis_p,0.001
bray,permdisp_p,0.295
bray,adonis_p,0.001
bray,permdisp_p,0.27
bray,adonis_p,0.001
bray,permdisp_p,0.241
bray,adonis_p,0.001
bray,permdisp_p,0.117
bray,adonis_p,0.001
bray,permdisp_p,0.293
bray,adonis_p,0.001
bray,permdisp_p,0.267
bray,adonis_p,0.001
bray,permdisp_p,0.236
bray,adonis_p,0.001
bray,permdisp_p,0.304
bray,adonis_p,0.001
bray,permdisp_p,0.217
bray,adonis_p,0.001
bray,permdisp_p,0.337
bray,adonis_p,0.001
bray,permdisp_p,0.093
bray,adonis_p,0.001
bray,permdisp_p,0.398
bray,adonis_p,0.002
bray,permdisp_p,0.313
bray,adonis_p,0.001
bray,permdisp_p,0.293
bray,adonis_p,0.001
bray,permdisp_p,0.37
bray,adonis_p,0.001
bray,permdisp_p,0.221
bray,adonis_p,0.001
bray,permdisp_p,0.261
bray,adonis_p,0.001
bray,permdisp_p,0.246
bray,adonis_p,0.002
bray,permdisp_p,0.182
bray,adonis_p,0.001
bray,permdisp_p,0.226
bray,adonis_p,0.001
bray,permdisp_p,0.268
bray,adonis_p,0.001
bray,permdisp_p,0.239
bray,adonis_p,0.001
bray,permdisp_p,0.416
bray,adonis_p,0.001
bray,permdisp_p,0.29
bray,adonis_p,0.001
bray,permdisp_p,0.339
